first_name,n_incidents
lillian,10696
tetiana,10686
yasunori,10681
yoshifumi,10674
mette,10658
wolfram,10654
sangeeta,10651
nataliia,10650
lise,10648
vitor,10645
lukasz,10638
shiva,10634
kamila,10633
mustapha,10623
friederike,10611
britta,10605
alicja,10601
maggie,10601
tal,10598
amer,10558
laetitia,10557
marwan,10551
polina,10545
tian,10527
muriel,10521
constance,10507
hany,10506
vesna,10504
arnab,10502
corinna,10501
nicoletta,10497
ronan,10487
celine,10467
cedric,10446
aisha,10442
miho,10439
constantinos,10424
andrii,10414
farzad,10409
smita,10405
ravindra,10404
shreya,10384
lucio,10382
erich,10382
ioana,10381
somayeh,10378
moses,10375
sudhir,10357
csaba,10352
solomon,10345
christa,10327
hang,10307
yukihiro,10283
naoyuki,10267
eran,10266
thibault,10265
vyacheslav,10265
peggy,10262
haley,10258
paloma,10256
aneta,10248
anca,10237
