last_name,n_incidents,predicted_nationality,confidence
neto,25539,Brazilian,0.433359
kaplan,25532,Indian,0.240745
black,25500,American,0.341666
frank,25487,American,0.269564
anand,25486,Indian,0.216531
holmes,25472,American,0.242272
raj,25463,American,0.26127
gross,25432,American,0.289389
gong,25403,Chinese,0.435349
romano,25375,Italian,0.154521
jacob,25324,American,0.204429
jansen,25319,Norwegian,0.424135
jia,25273,Indian,0.20604
alvarez,25261,American,0.401984
hart,25250,American,0.308588
werner,25244,German,0.240871
burke,25200,American,0.391134
zimmermann,25199,German,0.427947
zhong,25188,Chinese,0.904163
ferguson,25171,American,0.169656
schwarz,25146,American,0.388562
okamoto,25121,Japanese,0.624379
west,25015,American,0.436558
nakano,24984,Japanese,0.571657
choudhary,24943,Indian,0.398689
ueda,24934,American,0.191039
shim,24911,Korean,0.304096
hartmann,24896,German,0.476463
basu,24805,Nigerian,0.115511
abraham,24799,Iranian,0.201922
mason,24795,American,0.340532
elliott,24755,American,0.446408
mitra,24742,Indian,0.201688
mills,24721,American,0.392079
nakagawa,24701,Japanese,0.779471
coelho,24628,Brazilian,0.497238
hussein,24608,American,0.245031
davidson,24595,Brazilian,0.318129
levin,24578,American,0.35481
castillo,24572,American,0.178548
freeman,24552,American,0.40734
chuang,24545,Chinese,0.600551
goldstein,24488,American,0.286321
kramer,24475,American,0.343715
aoki,24430,Japanese,0.387823
mahmood,24422,Iranian,0.279375
mao,24403,American,0.241064
ono,24394,American,0.160932
chow,24349,American,0.194922
matsuda,24340,Japanese,0.875071
sanders,24336,American,0.224751
katz,24321,American,0.387208
ortiz,24295,American,0.24996
lambert,24239,American,0.341974
reed,24207,American,0.54738
lynch,24176,American,0.445282
shih,24170,Korean,0.094795
tong,24086,Chinese,0.377983
bhatt,24015,American,0.229609
hunter,24015,American,0.425417
filho,23990,Brazilian,0.439302
berry,23962,American,0.368942
burns,23946,American,0.311525
tu,23943,American,0.299579
johansson,23923,French,0.135074
takeda,23889,Japanese,0.532897
panda,23883,Indian,0.304668
kao,23835,American,0.116955
kaya,23824,Russian,0.283747
webb,23804,American,0.501627
qian,23790,American,0.16609
perry,23771,American,0.449855
adam,23768,American,0.222626
vidal,23730,Norwegian,0.140424
newman,23697,American,0.362126
vu,23597,Estonian,0.144583
popov,23596,Russian,0.619845
chin,23568,American,0.27622
pradhan,23533,Indian,0.641747
rosa,23516,American,0.204676
francis,23497,American,0.240461
andersson,23415,Brazilian,0.3227
mann,23402,German,0.423884
friedman,23391,American,0.286046
nishimura,23360,Japanese,0.734167
jordan,23349,Iranian,0.257246
vargas,23342,Estonian,0.156832
mohanty,23230,Indian,0.38957
wells,23216,American,0.386785
freitas,23187,Greek,0.274577
rai,23183,American,0.303032
pathak,23173,Indian,0.531087
saini,23134,Indian,0.254726
molina,23112,Russian,0.226705
phan,23097,American,0.305407
delgado,23096,Portuguese,0.20896
rivera,22927,American,0.157365
melo,22917,American,0.281362
hoang,22906,Chinese,0.41182
bianchi,22837,Italian,0.374569
goh,22810,American,0.140675
herrmann,22780,German,0.539619
saad,22748,American,0.114859
zou,22740,Greek,0.305978
harvey,22736,Indian,0.418398
andrews,22728,American,0.40745
ford,22705,American,0.396343
hara,22700,American,0.147413
rojas,22683,Macedonian,0.150905
knight,22653,American,0.493981
borges,22587,French,0.230692
harada,22574,Indian,0.227367
lucas,22562,American,0.251383
yeo,22475,Korean,0.499013
carlson,22442,Brazilian,0.28472
datta,22438,American,0.154791
maier,22411,American,0.242941
morrison,22392,American,0.326917
vogel,22359,Russian,0.135964
ahmadi,22331,Iranian,0.563956
fukuda,22320,Japanese,0.274312
levine,22319,American,0.335299
carroll,22312,American,0.412821
ramirez,22295,American,0.283885
schultz,22290,American,0.646072
mittal,22287,American,0.185266
olsen,22285,Norwegian,0.511684
esposito,22218,Italian,0.200783
wilkinson,22205,American,0.264263
schmid,22203,German,0.337923
winter,22187,American,0.3565
dang,22175,Chinese,0.420629
goel,22162,American,0.241867
putri,22157,Indonesian,0.197184
wada,22152,Japanese,0.181704
berg,22151,German,0.237532
bruno,22124,Brazilian,0.372567
xue,22121,American,0.267301
yen,22095,Korean,0.131018
saeed,21996,Indian,0.189267
qi,21925,American,0.309785
menon,21919,American,0.263648
solomon,21917,American,0.127529
lane,21787,American,0.449519
wan,21784,Korean,0.221526
gil,21767,American,0.308339
uchida,21754,Japanese,0.549102
nagy,21752,French,0.262507
yamazaki,21732,Japanese,0.848605
gardner,21721,American,0.229672
haddad,21705,Iranian,0.154261
bhatia,21585,Indian,0.41794
griffin,21549,American,0.306625
kaneko,21517,Japanese,0.361254
tao,21512,American,0.208983
matthews,21499,American,0.231975
ortega,21458,Basque,0.248724
mathew,21453,American,0.197929
nilsson,21442,Brazilian,0.51334
cunha,21312,Brazilian,0.40221
neumann,21297,German,0.28641
morita,21273,American,0.20045
miura,21232,American,0.136356
kaiser,21157,American,0.238625
nascimento,21126,Brazilian,0.719912
misra,21084,American,0.195628
shao,21070,Chinese,0.207171
blanco,21064,American,0.226596
naik,21064,American,0.220108
haque,21059,American,0.243829
fujiwara,21013,Japanese,0.753797
khalid,21010,Russian,0.188741
cunningham,21001,English,0.192688
goldberg,20967,German,0.254995
bradley,20963,American,0.32887
koo,20950,American,0.141772
fuchs,20936,American,0.467607
kwak,20921,Korean,0.281431
tamura,20826,Japanese,0.396395
salem,20823,American,0.099466
xiong,20805,Chinese,0.769389
hunt,20709,American,0.511689
colombo,20708,Italian,0.224016
crawford,20693,American,0.369247
lawrence,20691,American,0.463023
porter,20681,American,0.329936
may,20632,American,0.396052
day,20623,American,0.296097
choudhury,20598,Indian,0.392749
barros,20563,American,0.186716
de,20523,American,0.313479
barrett,20509,American,0.391959
muhammad,20483,Indian,0.229758
quinn,20476,American,0.596158
olson,20421,American,0.259263
im,20416,American,0.219585
leite,20412,American,0.306628
heo,20404,Korean,0.438646
snyder,20396,American,0.253992
meier,20364,American,0.32473
guan,20357,Chinese,0.355901
shaikh,20351,Indian,0.68362
team,20350,American,0.326547
brandt,20319,American,0.215632
herrera,20278,Mexican,0.22524
rasmussen,20219,Norwegian,0.292143
hsiao,20109,Chinese,0.317192
reyes,20107,American,0.210215
dawson,20022,American,0.185902
cameron,19972,American,0.286649
nakayama,19945,Japanese,0.502312
oliver,19933,American,0.305545
anwar,19921,Indian,0.43144
correia,19915,Portuguese,0.362085
krishna,19905,Indian,0.731866
cha,19882,American,0.189497
dunn,19854,American,0.400594
williamson,19846,American,0.234415
patterson,19843,American,0.237329
chien,19807,French,0.150298
taniguchi,19807,Japanese,0.803163
sim,19799,Korean,0.221797
serrano,19772,American,0.13791
putra,19741,Indian,0.276474
qureshi,19739,Indian,0.254458
ishida,19734,Japanese,0.399217
janssen,19719,Norwegian,0.625917
medina,19709,Russian,0.188386
hofmann,19655,German,0.534883
duncan,19635,American,0.178921
krause,19533,American,0.255161
devi,19532,Indian,0.196448
smirnov,19518,Russian,0.651016
sohn,19506,American,0.380839
shibata,19469,Japanese,0.790773
michel,19463,French,0.318685
daniel,19457,American,0.239577
gutierrez,19405,American,0.345228
vincent,19397,American,0.288834
osman,19395,American,0.154006
feldman,19360,American,0.343249
neves,19345,Brazilian,0.345598
soliman,19334,Iranian,0.156742
bernard,19315,French,0.382575
arai,19300,American,0.230083
warren,19298,American,0.271946
subramanian,19276,Tamil,0.341309
coleman,19265,American,0.33824
bui,19262,American,0.251387
na,19260,American,0.215214
pardasani,19231,Indian,0.307224
haas,19209,German,0.269137
ricci,19190,American,0.26581
boyd,19189,American,0.345344
shapiro,19184,American,0.169494
dubey,19180,American,0.423333
thomson,19168,American,0.153182
nowak,19158,American,0.273109
fraser,19155,American,0.301945
pang,19149,Chinese,0.272615
byrne,19130,American,0.235648
yokoyama,19095,Japanese,0.939647
endo,19082,Brazilian,0.195534
chun,19071,American,0.217996
uddin,19065,Indonesian,0.347959
owen,19052,American,0.179391
longo,19040,American,0.216687
joo,19003,Korean,0.188018
ramesh,18970,Indian,0.317254
omar,18957,American,0.28193
nogueira,18947,Portuguese,0.627801
larson,18936,American,0.336314
woods,18916,American,0.440023
truong,18858,Chinese,0.394875
petrov,18839,Russian,0.549044
rani,18801,American,0.161867
gallagher,18779,French,0.229261
kundu,18760,Japanese,0.259846
karimi,18740,Iranian,0.229596
gandhi,18716,Indian,0.470584
ando,18709,Brazilian,0.176599
karim,18704,American,0.111073
kar,18679,American,0.270394
mansour,18663,Iranian,0.527122
burton,18635,American,0.366781
bhardwaj,18634,Indian,0.719501
gautam,18633,French,0.093301
miyamoto,18561,Japanese,0.809848
fitzgerald,18559,American,0.308259
shetty,18557,Indian,0.570976
figueiredo,18551,Portuguese,0.617627
mustafa,18544,American,0.149097
miyazaki,18498,Japanese,0.86684
lehmann,18437,German,0.582811
richard,18408,American,0.373373
noh,18407,American,0.158166
rice,18402,American,0.392602
muller,18389,American,0.466057
adhikari,18367,Indian,0.782674
schroeder,18323,American,0.426415
kamal,18304,Indian,0.326282
mahajan,18291,Indian,0.272562
fletcher,18221,American,0.447379
pearson,18217,Brazilian,0.331856
moran,18214,Iranian,0.183213
rosen,18188,American,0.262753
guerra,18185,Argentine,0.156231
abbasi,18150,Indian,0.170654
malhotra,18126,Indian,0.52054
brenner,18083,American,0.284883
griffiths,18071,English,0.187896
spencer,18059,American,0.576301
goswami,18053,Indian,0.34991
schmitz,18049,German,0.574011
giordano,18036,Italian,0.64252
won,18015,American,0.309551
kikuchi,18014,Japanese,0.88537
tucker,17979,American,0.542086
demir,17972,American,0.204373
fujimoto,17921,Japanese,0.535968
shimada,17912,Japanese,0.792161
ivanova,17883,Bulgarian,0.554024
